nirf_id,academic_year,fulltime_graduated,parttime_graduated
IR-E-U-0439,2023-24,147,61
IR-E-U-0439,2022-23,0,0
IR-E-U-0439,2021-22,0,0
IR-E-I-1030,2022-23,0,0
IR-E-I-1030,2021-22,0,0
IR-E-I-1030,2020-21,0,0
IR-E-C-16532,2023-24,0,0
IR-E-C-16532,2022-23,0,0
IR-E-C-16532,2021-22,0,0
IR-E-C-16622,2023-24,0,0
IR-E-C-16622,2022-23,0,0
IR-E-C-16622,2021-22,0,0
IR-E-C-36995,2023-24,10,25
IR-E-C-36995,2022-23,0,0
IR-E-C-36995,2021-22,0,0
IR-E-C-16591,2023-24,0,0
IR-E-C-16591,2022-23,0,0
IR-E-C-16591,2021-22,0,0
IR-E-C-16477,2023-24,0,0
IR-E-C-16477,2022-23,0,0
IR-E-C-16477,2021-22,0,0
IR-E-C-16482,2022-23,0,0
IR-E-C-16482,2021-22,0,0
IR-E-C-16482,2020-21,0,0
IR-E-C-16487,2023-24,1,3
IR-E-C-16487,2022-23,0,0
IR-E-C-16487,2021-22,0,0
IR-E-C-16506,2023-24,0,0
IR-E-C-16506,2022-23,0,0
IR-E-C-16506,2021-22,0,0
IR-E-C-16551,2023-24,0,0
IR-E-C-16551,2022-23,0,0
IR-E-C-16551,2021-22,0,0
IR-E-C-16527,2023-24,0,14
IR-E-C-16527,2022-23,0,0
IR-E-C-16527,2021-22,0,0
IR-E-C-48283,2023-24,1,1
IR-E-C-48283,2022-23,0,0
IR-E-C-48283,2021-22,0,0
IR-E-C-16473,2022-23,0,0
IR-E-C-16473,2021-22,0,0
IR-E-C-16473,2020-21,0,0
IR-E-C-16614,2023-24,1,26
IR-E-C-16614,2022-23,0,0
IR-E-C-16614,2021-22,0,0
IR-E-C-1377,2023-24,0,11
IR-E-C-1377,2022-23,0,0
IR-E-C-1377,2021-22,0,0
IR-E-C-16523,2023-24,0,0
IR-E-C-16523,2022-23,0,0
IR-E-C-16523,2021-22,0,0
IR-E-C-36975,2023-24,8,12
IR-E-C-36975,2022-23,0,0
IR-E-C-36975,2021-22,0,0
IR-E-C-36954,2023-24,1,8
IR-E-C-36954,2022-23,0,0
IR-E-C-36954,2021-22,0,0
IR-E-C-16463,2023-24,8,0
IR-E-C-16463,2022-23,0,0
IR-E-C-16463,2021-22,0,0
IR-E-C-45295,2022-23,0,5
IR-E-C-45295,2021-22,0,0
IR-E-C-45295,2020-21,0,0
IR-E-C-45287,2023-24,4,8
IR-E-C-45287,2022-23,0,0
IR-E-C-45287,2021-22,0,0
IR-E-C-49130,2023-24,0,0
IR-E-C-49130,2022-23,0,0
IR-E-C-49130,2021-22,0,0
IR-E-C-45288,2023-24,0,0
IR-E-C-45288,2022-23,0,0
IR-E-C-45288,2021-22,0,0
IR-E-C-45299,2023-24,0,0
IR-E-C-45299,2022-23,0,0
IR-E-C-45299,2021-22,0,0
IR-E-C-16548,2023-24,0,0
IR-E-C-16548,2022-23,0,0
IR-E-C-16548,2021-22,0,0
IR-E-C-48266,2023-24,2,0
IR-E-C-48266,2022-23,0,0
IR-E-C-48266,2021-22,0,0
IR-E-C-49129,2023-24,0,0
IR-E-C-49129,2022-23,0,0
IR-E-C-49129,2021-22,0,0
IR-E-C-49133,2023-24,1,2
IR-E-C-49133,2022-23,0,0
IR-E-C-49133,2021-22,0,0
IR-E-C-50605,2023-24,1,5
IR-E-C-50605,2022-23,0,0
IR-E-C-50605,2021-22,0,0
IR-E-C-16504,2023-24,1,1
IR-E-C-16504,2022-23,1,2
IR-E-C-16504,2021-22,0,0
IR-E-C-37003,2020-21,0,0
IR-E-C-37003,2019-20,0,0
IR-E-C-37003,2018-19,0,0
IR-E-C-39247,2024-25,0,9
IR-E-C-39247,2023-24,0,0
IR-E-C-39247,2022-23,0,0
IR-E-C-37000,2023-24,0,1
IR-E-C-37000,2022-23,0,0
IR-E-C-37000,2021-22,0,0
IR-E-C-16490,2023-24,1,4
IR-E-C-16490,2022-23,0,0
IR-E-C-16490,2021-22,0,0
IR-E-C-46528,2023-24,0,0
IR-E-C-46528,2022-23,0,0
IR-E-C-46528,2021-22,0,0
IR-E-C-36980,2022-23,7,12
